pressure_label,sigma_contact_Spm,elec_r_mm,t_fat_mm,compliance_V,contact_impedance_ohm,exceeded_compliance,I_active_A,I_return_A,I_active_signed_A,I_return_signed_A,flux_err,jn_used_A_m2,peak_J_skin_with_elec,peak_J_skin_no_elec,charge_density_mC_cm2,exceeds_charge_limit,roi_mean_J,roi_mean_E,efficiency,roi_n_cells,roi_radius_used_mm,pulse_width_us,frequency_Hz
p01,5e-05,10.0,5.0,363.507,69769.1,True,0.00521015,0.00521552,-0.00521015,0.00521552,0.00103,15.975015,17.0401,16.9485,0.000341,False,8.844404,52.5846,3.102611,719,5.0,200.0,10.0
p02,0.0001,10.0,5.0,203.656,39079.8,True,0.00521129,0.0052218,-0.00521129,0.0052218,0.002013,15.975015,18.0165,17.8294,0.00036,False,8.840645,52.5596,2.947916,719,5.0,200.0,10.0
p03,0.00019,10.0,5.0,127.817,24517.5,False,0.00521329,0.00523141,-0.00521329,0.00523141,0.003464,15.975015,19.5883,19.2233,0.000392,False,8.833964,52.5152,2.73185,719,5.0,200.0,10.0
p04,0.00036,10.0,5.0,87.852,16840.0,False,0.00521684,0.00524539,-0.00521684,0.00524539,0.005443,15.975015,22.0593,21.3503,0.000441,False,8.821624,52.4327,2.455827,719,5.0,200.0,10.0
p05,0.0007,10.0,5.0,65.924,12621.2,False,0.00522324,0.00526395,-0.00522324,0.00526395,0.007735,15.975015,25.7164,24.3449,0.000514,False,8.797969,52.2731,2.147188,719,5.0,200.0,10.0
p06,0.00134,10.0,5.0,54.587,10430.7,False,0.00523328,0.00528335,-0.00523328,0.00528335,0.009476,15.975015,30.0863,27.6705,0.000602,False,8.75672,51.991,1.878936,719,5.0,200.0,10.0
p07,0.0026,10.0,5.0,48.349,9212.7,False,0.00524808,0.00530078,-0.00524808,0.00530078,0.009941,15.975015,34.6289,30.8292,0.000693,False,8.68581,51.4966,1.670386,719,5.0,200.0,10.0
p08,0.00501,10.0,5.0,44.981,8540.8,False,0.00526654,0.00531343,-0.00526654,0.00531343,0.008824,15.975015,38.4183,33.2341,0.000768,False,8.578262,50.7291,1.526417,719,5.0,200.0,10.0
p09,0.00968,10.0,5.0,43.104,8153.5,False,0.00528657,0.00532151,-0.00528657,0.00532151,0.006567,15.975015,41.1349,34.8342,0.000823,False,8.435163,49.6848,1.426321,719,5.0,200.0,10.0
p10,0.01868,10.0,5.0,42.056,7927.7,False,0.00530501,0.00532618,-0.00530501,0.00532618,0.003976,15.975015,42.8413,35.8001,0.000857,False,8.278409,48.5205,1.355319,719,5.0,200.0,10.0
p11,0.03607,10.0,5.0,41.47,7795.8,False,0.00531958,0.00532875,-0.00531958,0.00532875,0.00172,15.975015,43.8302,39.7003,0.000877,False,8.13834,47.468,1.195658,719,5.0,200.0,10.0
p12,0.06964,10.0,5.0,41.147,7720.4,False,0.0053296,0.00533011,-0.0053296,0.00533011,9.6e-05,15.975015,46.5188,42.4788,0.00093,False,8.034565,46.683,1.098972,719,5.0,200.0,10.0
p13,0.13445,10.0,5.0,40.972,7678.7,False,0.0053358,0.00533083,-0.0053358,0.00533083,0.000931,15.975015,48.7285,44.1808,0.000975,False,7.967777,46.1761,1.045163,719,5.0,200.0,10.0
p14,0.25959,10.0,5.0,40.878,7656.0,False,0.00533936,0.00533121,-0.00533936,0.00533121,0.001526,15.975015,50.0325,45.1445,0.001001,False,7.928608,45.8785,1.016258,719,5.0,200.0,10.0
p15,0.50119,10.0,5.0,40.829,7644.0,False,0.00534131,0.0053314,-0.00534131,0.0053314,0.001855,15.975015,50.7608,45.6663,0.001015,False,7.906889,45.7133,1.00103,719,5.0,200.0,10.0
